datetime,line,station,enter_04_05,exit_04_05,enter_05_06,exit_05_06,enter_06_07,exit_06_07,enter_07_08,exit_07_08,enter_08_09,exit_08_09,enter_09_10,exit_09_10,enter_10_11,exit_10_11,enter_11_12,exit_11_12,enter_12_13,exit_12_13,enter_13_14,exit_13_14,enter_14_15,exit_14_15,enter_15_16,exit_15_16,enter_16_17,exit_16_17,enter_17_18,exit_17_18,enter_18_19,exit_18_19,enter_19_20,exit_19_20,enter_20_21,exit_20_21,enter_21_22,exit_21_22,enter_22_23,exit_22_23,enter_23_24,exit_23_24,enter_00_01,exit_00_01,enter_01_02,exit_01_02,enter_02_03,exit_02_03,enter_03_04,exit_03_04,updated,ID,gu_x,gu_y,gu
202009,1호선,동대문,483,11,12628,1669,8737,6184,12389,10630,16251,22032,15444,20049,13838,17979,15171,19253,17336,19666,17637,19388,19225,18399,19824,18145,21058,16376,21450,16323,20890,16659,14306,18547,11370,11865,9922,9649,7515,7950,3097,8205,25,850,2,0,1,2,0,0,20201003,1호선동대문,종로구,종로구,종로구
202009,1호선,동묘앞,126,0,3295,869,3188,3731,4865,8017,6909,19482,6617,15413,7970,16183,12463,21050,16678,23740,21599,25371,24147,25031,26685,21425,26596,16001,23955,11997,21410,8836,9733,5679,5202,3573,4295,3471,2516,2913,1012,2083,2,1168,0,0,1,0,0,0,20201003,1호선동묘앞,종로구,종로구,종로구
202009,1호선,서울역,713,9,8936,5592,9919,28094,27805,74330,47341,146295,32081,98363,28675,46167,33523,37752,40200,39548,42585,40182,38936,37543,50307,38431,54527,40177,97795,51018,147620,53649,70612,38697,47417,24004,45462,19509,27347,12350,9553,7368,20,494,0,0,0,0,0,0,20201003,1호선서울역,중구,중구,중구
202009,1호선,시청,21,0,1624,3522,2771,15780,5292,52899,6733,133466,6897,64441,7812,24205,10886,19464,11804,17086,14210,17372,18699,14961,24803,12566,29344,10813,57680,11571,109734,10644,41064,5769,30079,3384,28344,3132,14648,1708,4484,1105,5,60,0,0,0,0,0,0,20201003,1호선시청,중구,중구,중구
202009,1호선,신설동,292,8,8134,2277,7828,8189,14871,22632,19983,54759,14644,31028,12542,17300,14743,15327,14409,15683,16456,15818,17210,15005,19600,15542,23407,16020,34614,18087,49596,22349,19559,15657,11965,9535,10435,8835,6425,6505,2267,4472,16,346,1,2,0,0,0,0,20201003,1호선신설동,동대문구,동대문구,동대문구
202009,1호선,제기동,332,3,4394,2332,7556,8183,18973,19508,26777,40143,20477,37570,26103,41521,34935,43704,38761,39245,38866,39392,39808,41925,41926,37596,38213,29379,36950,22654,34461,22933,16182,15374,9483,9108,7975,8182,5558,6163,1964,3342,9,340,0,0,0,0,0,0,20201003,1호선제기동,동대문구,동대문구,동대문구
202009,1호선,종각,89,3,2630,3801,2927,20527,4765,83220,7135,174753,9549,105246,12550,44121,18639,33221,21036,29504,26294,31819,32707,27339,42055,24423,48905,23231,102782,23687,154909,26281,67338,15051,52091,6424,50758,4243,28961,2508,10161,1457,15,150,0,0,0,0,0,0,20201003,1호선종각,종로구,종로구,종로구
202009,1호선,종로3가,165,20,3403,2638,3263,10434,4150,21207,6318,58620,9441,58923,16524,47762,25563,44474,30257,41826,35011,41721,39567,39715,43920,33953,47606,28013,59243,23756,83298,22092,47250,11679,31863,5152,30178,3969,19370,2789,6935,2167,28,393,0,0,0,0,0,0,20201003,1호선종로3가,종로구,종로구,종로구
202009,1호선,종로5가,27,3,1608,3467,2334,13114,3976,34836,6444,89143,9692,58763,16095,42303,23454,37740,26959,35499,31076,33573,36759,33646,41888,29614,46651,23868,63887,19239,86310,16485,40929,8915,24108,4093,18092,3368,10408,2242,2992,1448,7,192,0,0,0,0,0,0,20201003,1호선종로5가,종로구,종로구,종로구
202009,1호선,청량리,1481,28,10234,4895,13161,14346,34488,15583,40768,32584,28431,30477,27138,34691,32990,38622,36021,37349,37422,37460,38705,42327,42069,41479,44667,37322,42213,36014,37660,43196,20421,29221,15018,16413,9599,15281,6324,10385,2344,6120,20,898,0,0,0,0,0,0,20201003,1호선청량리,동대문구,동대문구,동대문구
202009,2호선,강남,107,4,6632,11455,15315,44203,31775,120400,47717,265844,36874,253389,35908,114201,49351,78755,59641,74855,70365,91514,81041,81401,104012,76283,118539,77176,189508,91912,279907,119719,174513,79316,125121,38156,133243,29221,95295,20096,31153,14135,8,13,0,0,0,0,0,0,20201003,2호선강남,강남구,강남구,강남구
202009,2호선,강변,17,1,7885,2341,22288,17475,64478,21041,88470,39001,59442,31686,38988,30117,35463,27877,35032,31542,35536,34448,33718,36407,34312,42228,36749,47293,41082,63228,49420,94770,36902,68090,28304,42311,24396,34295,15453,27137,5099,14549,1,281,0,0,0,0,0,0,20201003,2호선강변,광진구,광진구,광진구
202009,2호선,건대입구,195,16,14240,1827,18373,16273,44660,23590,75564,53821,49061,37797,27155,30043,25855,29967,29108,36234,32036,40862,33876,41971,36778,46857,42044,52343,52516,71337,67294,111131,48004,79680,48891,45409,48578,43211,39086,31098,17327,18251,16,2384,0,0,0,0,0,0,20201003,2호선건대입구,광진구,광진구,광진구
202009,2호선,교대,13,0,1936,6758,10443,23689,20027,46197,27619,135847,21622,118897,20266,56444,24985,40679,27803,36505,31941,43107,40241,41277,45436,37083,49879,34937,83840,40567,125506,50156,56710,32377,41270,17459,42085,15152,26114,10881,9250,7049,3,41,0,0,0,0,0,0,20201003,2호선교대,서초구,서초구,서초구
202009,2호선,구로디지털단지,263,2,37073,6175,47868,22027,119614,73382,155247,215653,95667,125317,51831,47117,44927,37742,48991,38030,50702,43167,47466,44561,50938,53776,61323,60625,106301,90173,186860,140888,92761,112027,52798,67886,43779,71124,28904,51972,10008,29719,1,40,0,2,0,0,0,0,20201003,2호선구로디지털단지,구로구,구로구,구로구
202009,2호선,구의,25,2,12579,1025,22739,8803,57117,12914,93637,34479,52998,21088,26442,15738,21313,15214,22039,17296,22765,19323,21035,21159,21102,26838,23592,30721,27159,44125,35174,76630,18979,56024,14322,35082,13827,33538,10816,25371,4639,12712,3,1179,0,1,0,0,0,0,20201003,2호선구의,광진구,광진구,광진구
202009,2호선,낙성대,38,6,10921,1807,22735,8229,67642,16215,103605,32482,65920,26968,32832,19866,26818,17845,29154,20733,29966,21935,27351,24676,28162,28955,30962,33653,36971,49470,41616,84480,25134,72455,18431,45209,17441,42165,12993,34713,5039,18575,8,1616,1,1,0,0,0,0,20201003,2호선낙성대,관악구,관악구,관악구
202009,2호선,당산,99,6,6021,3073,14391,11892,38497,26004,45528,69749,26691,32470,17076,16300,15687,14353,16777,15775,17468,17668,17056,17580,18078,19787,21117,23967,33237,36260,55158,60471,25834,41188,18021,25662,17979,23783,12512,17216,5018,11328,3,175,1,2,0,0,0,0,20201003,2호선당산,영등포구,영등포구,영등포구
202009,2호선,대림,632,21,32611,3545,26898,10235,58107,20567,79875,52936,51818,32868,29075,25506,24960,26162,26668,25547,27120,25262,25656,27477,26876,34395,29489,37695,36965,53961,49616,65050,25534,46452,17027,32038,13252,44013,8654,30606,3807,14086,2,334,0,0,0,0,0,0,20201003,2호선대림,구로구,구로구,구로구
202009,2호선,도림천,21,0,306,274,914,707,2547,3525,2325,5287,1552,1832,1412,1191,1206,1039,1856,1425,1346,1051,1806,1424,2004,1254,2262,1562,2628,1805,3328,2403,1738,2134,747,1170,775,1032,337,712,137,472,0,31,0,0,0,0,0,0,20201003,2호선도림천,구로구,구로구,구로구
202009,2호선,동대문역사문화공원,250,0,7229,840,4575,6663,5452,18938,7857,45260,7194,24766,7454,19126,10246,19008,10946,15432,12449,16569,15392,16615,19344,14796,24293,13838,30670,14688,34356,17186,21430,20979,15370,12106,16139,8764,10158,6009,4048,5028,5,344,0,0,0,0,0,0,20201003,2호선동대문역사문화공원,중구,중구,중구
202009,2호선,뚝섬,29,1,3447,2083,7187,13290,16678,29231,23434,111969,13757,64084,10363,24125,10524,17056,13080,18252,14921,20271,17488,18950,20530,19331,26100,20565,43627,23922,97330,33071,47398,20857,27544,11244,23529,9579,14280,7119,4485,4821,2,19,0,0,0,0,0,0,20201003,2호선뚝섬,성동구,성동구,성동구
202009,2호선,문래,16,0,3009,1678,10892,9143,35474,29071,36411,106655,20827,49392,14374,17136,13954,14763,15536,15740,16627,16507,17735,17297,19903,17341,24776,18700,43811,25775,88750,43227,30745,31491,20331,16345,19342,14556,12610,11261,4638,6168,0,145,0,0,1,1,0,0,20201003,2호선문래,영등포구,영등포구,영등포구
202009,2호선,방배,7,0,2332,3540,8219,12417,19232,25222,25096,60202,19595,38805,13682,17449,13446,14709,15380,15592,17580,16998,18517,16150,20747,16912,25272,18109,35588,24009,57141,31171,24821,22845,16759,13878,16191,13027,12373,10065,3874,5805,0,2,0,0,0,0,0,0,20201003,2호선방배,서초구,서초구,서초구
202009,2호선,봉천,48,0,14831,1443,25669,6204,70839,11709,103362,22321,61387,17586,30773,15840,24588,16675,25636,18215,25948,19720,23405,22655,23370,29967,24264,32446,25981,45961,28679,76367,17180,62744,13057,39129,12216,36548,8756,26664,2884,15270,3,224,0,1,0,0,0,0,20201003,2호선봉천,관악구,관악구,관악구
202009,2호선,사당,111,5,12050,3421,22365,25053,62573,37081,82925,55537,59145,39814,34340,31340,30248,32030,35525,33365,36079,35401,36919,36925,37932,45441,42212,58003,54502,82623,76593,120810,50309,87473,43432,50563,43740,47139,33345,36450,14542,22129,13,2038,0,0,0,0,0,0,20201003,2호선사당,동작구,동작구,동작구
202009,2호선,삼성,185,1,4573,4612,6183,42985,12925,112272,17125,260961,15970,184711,16974,69331,23715,43639,29077,39714,35810,45060,44714,38409,57444,34654,77536,32507,143601,34770,223279,39944,122479,23104,85521,12332,65182,10355,37647,6320,8580,4555,2,2168,0,0,0,0,0,0,20201003,2호선삼성,강남구,강남구,강남구
202009,2호선,상왕십리,56,0,5333,477,10982,4616,32144,10641,47989,31519,25995,15744,14827,10522,13663,9520,14225,10568,14560,11951,14018,12171,15095,13403,15182,16827,19042,24816,24010,41902,14760,28495,9570,16588,8412,16794,5792,12017,1815,7823,0,1,0,0,0,0,0,0,20201003,2호선상왕십리,성동구,성동구,성동구
202009,2호선,서울대입구,4049,37,27789,2269,37984,11932,108073,25446,155956,54074,99201,50016,51646,38509,44581,35782,47289,38116,49646,43486,47838,46093,50314,52083,56065,61535,63052,84852,74316,146145,46378,120958,37917,71304,37260,68631,28890,52357,11317,30698,1,8947,0,0,3,2,0,0,20201003,2호선서울대입구,관악구,관악구,관악구
202009,2호선,서초,23,0,1133,4365,6336,17919,11392,41106,18018,105902,17590,71683,13972,28206,15150,17708,16234,15993,18692,18743,23430,16023,27931,15421,32750,14941,57321,16363,87218,17292,35839,11594,22629,7723,22083,6535,12420,5097,3682,2760,2,0,0,0,0,0,0,0,20201003,2호선서초,서초구,서초구,서초구
202009,2호선,선릉,67,0,3519,6033,9346,37422,16620,97790,24272,237097,22349,179703,25631,70047,33913,47006,39529,41569,47464,45809,55616,42234,70436,36264,100861,33587,150788,36905,236642,39610,115795,25289,68435,14630,63570,12713,43815,8868,12338,5565,3,84,0,0,0,0,0,0,20201003,2호선선릉,강남구,강남구,강남구
202009,2호선,성수,38,1,5021,3017,8702,25508,20426,64643,26438,228814,20130,105432,15838,34622,16620,26424,19077,26599,23492,29387,26302,27177,30906,29171,40067,28667,82631,31930,178149,41911,76427,26418,41906,13965,38809,12135,23317,9489,6768,7444,4,2512,1,0,0,1,0,0,20201003,2호선성수,성동구,성동구,성동구
202009,2호선,시청,17,1,784,1439,1793,12776,3980,62453,6079,168859,6447,75381,9059,19161,12904,14305,12941,14221,16247,15520,19881,13257,23629,12273,27908,10413,68014,10958,138143,10733,48357,5147,29532,2766,24854,2558,12533,1850,3369,1352,8,59,0,0,0,0,0,0,20201003,2호선시청,중구,중구,중구
202009,2호선,신답,0,0,843,137,1590,519,5142,832,7972,1455,3182,1058,1653,855,1383,931,1537,1035,1485,1208,1323,1376,1256,2024,1329,2526,1565,3592,1791,7929,814,5730,492,2503,440,2619,392,1682,95,1057,0,11,0,0,0,0,0,0,20201003,2호선신답,성동구,성동구,성동구
202009,2호선,신당,26,1,5569,1130,10300,7390,22792,16196,35264,32283,21290,20012,14566,15488,14336,15453,15729,15202,16766,16400,17366,17163,18228,17724,20286,20498,24012,26361,30269,36050,19110,24724,13760,15042,11251,14245,7975,10040,3122,6806,1,70,1,0,0,0,0,0,20201003,2호선신당,중구,중구,중구
202009,2호선,신대방,137,5,24321,2115,32209,8899,77710,16387,109289,29035,65595,18214,34674,14920,26882,15611,27397,18652,26116,20430,23665,23290,23254,31427,26003,36461,29834,53347,35405,84478,20779,69192,14927,45423,11585,51214,8376,36433,3290,21233,1,6,0,0,0,0,0,0,20201003,2호선신대방,동작구,동작구,동작구
202009,2호선,신도림,3576,12,33392,4720,42893,15536,111288,36720,111551,100072,70280,58325,44280,48771,42418,42940,47633,44985,50154,47283,49633,49507,52970,55309,58226,62053,77774,83751,110715,134891,64342,101427,50568,59448,47748,55018,27433,42839,10996,28957,19,7775,0,0,0,0,0,0,20201003,2호선신도림,구로구,구로구,구로구
202009,2호선,신림,285,18,37085,4193,69910,18619,181052,28780,263726,52706,154891,45090,78847,36470,63594,37227,66611,42660,64254,49704,60524,56608,58527,71556,65087,84057,68631,123280,72218,217233,50026,183785,41141,115204,38751,112614,29088,82627,11999,52912,3,92,0,0,0,0,0,0,20201003,2호선신림,관악구,관악구,관악구
202009,2호선,신설동,20,2,1066,461,1103,1756,2621,4418,4743,11294,3462,7098,3288,5085,3883,5037,4643,5105,4958,5384,5972,5010,6582,4602,6974,3726,9353,4058,9548,4487,4009,3111,2176,2081,1806,1648,1192,1226,372,837,0,250,0,0,0,0,0,0,20201003,2호선신설동,동대문구,동대문구,동대문구
202009,2호선,신정네거리,95,0,7329,1467,12503,5903,37774,4650,34384,10765,18068,7027,11209,5988,9948,7133,10935,7613,9863,8479,9070,8997,8902,11970,10947,13871,11596,21621,9647,37081,5922,29430,4378,14983,3454,12675,2594,10004,828,5837,11,517,2,3,0,1,0,0,20201003,2호선신정네거리,양천구,양천구,양천구
202009,2호선,신촌,50,1,4965,2571,10655,12927,26382,27030,36314,62135,26090,68524,24527,40849,27318,36318,32432,39192,33503,45136,37292,41515,42137,39225,49607,39242,64909,51964,68639,74629,48515,50965,50056,26663,45013,22710,39260,16291,14322,11356,2,21,0,0,0,0,0,0,20201003,2호선신촌,마포구,마포구,마포구
202009,2호선,아현,28,3,4469,1218,9000,6497,23061,9617,28946,20098,16652,9944,11839,7797,10852,7913,11244,8686,11766,9813,12116,10117,14734,11320,15661,12998,15936,17611,16393,25939,9793,20806,6639,12327,5154,11762,3189,8762,1278,5478,1,4,5,5,0,0,0,0,20201003,2호선아현,마포구,마포구,마포구
202009,2호선,양천구청,18,1,4059,925,9501,1751,26475,4367,22841,7874,12072,4176,7561,3813,6599,4382,6910,5458,6983,5353,5900,5741,5699,7341,7089,8873,7004,13870,7364,24625,3085,21265,2226,11354,2144,9942,1774,7058,470,4781,7,516,0,1,0,0,0,0,20201003,2호선양천구청,양천구,양천구,양천구
202009,2호선,역삼,71,0,3585,7034,7694,40410,12164,102335,19564,270723,18898,219245,17765,76233,23905,45856,28880,40370,34506,44697,43387,38107,57474,35478,77719,31917,150759,35161,225301,38764,109527,26697,62285,15655,57935,12870,34802,9044,11130,5684,0,0,0,0,0,0,0,0,20201003,2호선역삼,강남구,강남구,강남구
202009,2호선,영등포구청,48,2,5000,2673,10957,11368,33992,31881,38167,109447,23561,48864,17644,22702,18388,18300,19597,19210,20190,21016,22214,19849,24691,20564,30057,21587,45606,28005,91905,43686,33493,30652,22236,16793,20332,15962,12510,12099,4333,7853,2,193,0,0,0,1,0,0,20201003,2호선영등포구청,영등포구,영등포구,영등포구
202009,2호선,왕십리,858,6,6232,696,8398,4423,21836,10473,36677,25098,21983,14971,13946,10680,14330,10986,16382,12337,16915,13445,16997,13912,18807,15291,22458,17587,26588,24522,31932,40939,19305,26753,17830,15389,19067,13611,15208,10495,7619,7583,62,111,0,0,0,0,0,0,20201003,2호선왕십리,성동구,성동구,성동구
202009,2호선,용답,14,0,2202,201,2916,743,6361,1570,10747,2560,4952,1691,3294,1604,2769,1944,3039,2212,3207,2427,3004,2862,3056,3432,3273,4427,3484,5135,3355,9166,1910,5894,1243,3675,1003,4265,788,3045,311,1949,0,3,0,0,0,0,0,0,20201003,2호선용답,성동구,성동구,성동구
202009,2호선,용두,20,0,915,215,1394,882,4136,2358,6455,6164,3361,3439,2919,3224,3374,3315,3382,2671,3299,3424,3473,3763,3865,3998,3845,3376,4107,3818,5564,6464,2218,4585,1325,2218,1146,2317,709,1361,206,877,0,10,0,0,0,0,0,0,20201003,2호선용두,동대문구,동대문구,동대문구
202009,2호선,을지로3가,8,0,811,1381,1830,15087,4077,56936,6731,123530,7086,53677,8097,22788,10791,16701,11491,14981,14438,17135,17662,15341,22149,13569,27504,13151,61852,14054,105288,15323,42397,8497,26603,4461,24358,3404,16469,2471,6695,1552,4,162,2,2,1,1,0,0,20201003,2호선을지로3가,중구,중구,중구
202009,2호선,을지로4가,6,0,878,1002,1490,10705,2465,27193,4287,66233,5657,39720,7622,20881,10902,18090,13044,15833,13927,14957,17167,14707,19897,12610,24054,10377,41320,9212,59595,7795,28323,4535,13566,2236,10758,1933,6010,1443,2029,924,2,93,0,1,0,0,0,0,20201003,2호선을지로4가,중구,중구,중구
202009,2호선,을지로입구,133,1,1827,1852,2628,22603,6368,104009,9923,230715,11084,115912,13022,51365,18900,40113,22565,32693,29465,33117,35379,29163,45351,26419,54350,25104,119239,27398,194907,28785,83462,15385,75234,8393,43911,7478,23076,5399,6435,3622,1,1888,0,0,0,0,0,0,20201003,2호선을지로입구,중구,중구,중구
202009,2호선,이대,49,1,2352,1652,5738,10976,15799,9543,19303,26449,12101,21138,9490,16000,9730,13608,12214,14259,13747,16124,13733,15021,16079,14379,21128,14538,28984,17470,26565,24918,16512,18526,13228,10720,12301,10647,9574,8109,2961,5951,1,9,1,2,0,0,0,0,20201003,2호선이대,마포구,마포구,마포구
202009,2호선,잠실,96,8,10535,4435,38640,27962,89352,62807,127197,136270,89264,103534,53331,59541,52251,56224,56556,58346,61611,63990,62970,63170,69520,70500,82201,80591,116855,107308,153210,163431,98451,111966,95327,66177,70145,60703,48253,44599,13571,26288,3,76,1,0,1,1,0,0,20201003,2호선잠실,송파구,송파구,송파구
202009,2호선,잠실나루,3,0,2513,1435,9449,8769,31562,20039,36800,32172,22311,20250,15951,13591,15099,11844,14877,14049,14414,14470,15936,13104,17109,12733,21208,13590,25582,19137,25958,32780,12745,24641,8953,13734,6785,12813,4353,9393,1538,5900,1,32,0,0,0,0,0,0,20201003,2호선잠실나루,송파구,송파구,송파구
202009,2호선,잠실새내,7,0,3986,846,13004,7106,43402,13702,54669,22409,31505,23131,19564,18535,18266,18234,20246,19317,20943,21945,20255,23271,22222,25307,26041,28492,26690,39793,30971,63832,23036,44992,19512,23691,19219,20442,14272,15684,6027,9053,5,548,0,0,0,0,0,0,20201003,2호선잠실새내,송파구,송파구,송파구
202009,2호선,종합운동장,2,0,1487,899,4862,5181,13926,8842,17909,16897,12688,8201,7402,5421,6352,5367,6769,6115,7270,6477,7313,6756,7776,7622,9222,8840,11710,12514,13304,19904,6709,13534,4637,8091,4917,8046,3273,6474,1048,3622,3,276,0,2,0,0,0,0,20201003,2호선종합운동장,송파구,송파구,송파구
202009,2호선,충정로,23,2,3076,873,5477,5121,13067,18225,17725,52877,11333,23916,8645,10679,9311,8012,8741,7470,9594,8854,10020,8179,11325,8692,12719,9732,21185,12249,42478,17369,14210,12746,8319,7806,7303,7820,4507,5992,1402,3504,0,89,0,0,0,0,0,0,20201003,2호선충정로,서대문구,서대문구,서대문구
202009,2호선,한양대,1,0,858,275,2031,5178,4568,9979,7083,30036,4754,21352,4130,13570,5385,8420,6254,9754,6667,10567,7651,9520,9199,7106,13281,6622,22542,6901,22529,8046,10975,4968,8440,3853,8599,3566,6878,2791,3051,2002,0,2,0,0,0,0,0,0,20201003,2호선한양대,성동구,성동구,성동구
202009,2호선,합정,47,2,6547,2947,14878,13552,36989,29433,45896,80558,29771,60862,19964,33081,20170,29642,23242,32900,26390,35682,27990,36207,30679,35387,36964,38850,52985,53630,89282,78432,57961,55185,44727,28655,47428,24335,35698,17859,14491,12207,4,389,0,0,0,0,0,0,20201003,2호선합정,마포구,마포구,마포구
202009,2호선,홍대입구,462,5,12454,3511,19130,13288,50156,27436,60030,80229,39289,85427,27787,52760,30761,52602,37688,64507,43624,74152,46739,74031,54655,76515,67855,79795,90430,95012,116984,130160,88729,91671,84044,47742,94386,37372,76432,27354,29005,19921,189,3055,0,0,0,0,0,0,20201003,2호선홍대입구,마포구,마포구,마포구
202009,3호선,가락시장,6,0,2212,693,5635,5265,16622,10388,18079,25459,12116,14332,10518,10069,10679,9502,10927,9694,10988,9853,11522,10536,12250,11881,13400,12184,16365,14170,24669,19357,10567,14380,7751,9238,6565,7143,4199,5547,1097,3072,1,827,0,0,0,0,0,0,20201003,3호선가락시장,송파구,송파구,송파구
202009,3호선,경복궁,69,0,2262,1193,4803,11907,10653,35042,15212,85930,14529,37371,10562,20310,11619,17570,12984,16867,16018,19189,18953,18007,22589,15764,29168,16279,43604,18474,75505,22076,31001,15293,23026,8101,22074,7255,12448,5478,3446,3257,3,131,0,0,0,0,0,0,20201003,3호선경복궁,종로구,종로구,종로구
202009,3호선,경찰병원,10,0,2401,132,6045,2652,17595,7901,20913,25810,12103,12244,8709,7438,7371,5474,7843,6735,8261,7328,7672,6772,8096,6849,8040,7456,12775,10443,17647,16905,5756,14202,4404,8585,4555,6541,2246,5183,487,2820,1,655,0,0,0,0,0,0,20201003,3호선경찰병원,송파구,송파구,송파구
202009,3호선,고속터미널,65,0,4000,2742,5592,23948,19336,37044,30022,60171,31005,76743,28950,63311,36602,61794,44485,59437,49809,62355,53828,63292,61967,67124,70497,64592,87293,70899,98595,83659,78768,53598,94116,29542,53020,21872,32466,12520,9945,8010,5,301,2,1,0,1,0,0,20201003,3호선고속터미널,서초구,서초구,서초구
202009,3호선,교대,22,0,926,503,2653,5827,5956,14196,8896,42641,7592,29716,8446,12802,10625,8272,11506,7432,13555,8210,16152,7913,18461,7434,21257,7335,35423,9117,56594,11568,22761,6541,16560,3368,16946,2622,10302,1988,3149,1392,1,10,0,0,0,0,0,0,20201003,3호선교대,서초구,서초구,서초구
202009,3호선,구파발,133,2,8584,1359,25830,8182,70577,20796,68274,25016,33672,22941,21665,20406,20224,17196,21515,18968,20759,20393,21022,20226,23811,20899,26168,24564,29002,32409,25860,57964,15916,50450,12215,27251,10849,24297,8378,16255,1656,13827,8,1371,0,12,0,0,0,0,20201003,3호선구파발,은평구,은평구,은평구
202009,3호선,금호,54,13,4373,486,8701,2476,21966,4294,29316,7895,17832,5850,11155,5542,9122,5651,9351,6606,9612,7011,8581,8066,8457,10047,8895,12221,9227,17161,9837,25199,6358,18844,4958,12663,4161,10430,2626,7602,948,4105,0,0,0,0,0,0,0,0,20201003,3호선금호,성동구,성동구,성동구
202009,3호선,남부터미널,35,0,2430,965,7209,22006,20898,49964,30057,134699,24401,70892,21085,36729,23436,27280,25079,27865,28377,29414,30109,30562,35308,30554,41199,31523,72878,34703,115732,42700,53018,29345,34162,16804,28444,13607,17842,8575,5165,5260,0,40,0,0,0,0,0,0,20201003,3호선남부터미널,서초구,서초구,서초구
202009,3호선,녹번,31,2,7904,682,20241,5596,53989,6935,61323,15900,31960,7785,18570,6966,15093,7892,14769,9032,14391,9477,12844,10770,12049,13512,13282,17402,14621,25615,16500,48109,7488,42530,5417,23523,4515,20583,3446,14828,829,8850,0,32,0,0,0,0,0,0,20201003,3호선녹번,은평구,은평구,은평구
202009,3호선,대청,55,1,3069,1048,8916,6743,21571,11363,24630,19605,13177,10266,9367,6001,8655,6154,9103,6759,9801,7220,10404,7456,13245,9831,13446,10402,17420,13782,20126,21531,9387,17625,6042,10817,5061,9704,3255,8286,918,4679,1,92,0,0,0,0,0,0,20201003,3호선대청,강남구,강남구,강남구
202009,3호선,대치,13,0,2069,721,9273,6995,19497,10369,17758,19852,10657,13656,8157,9694,8273,8738,9782,10651,10896,12995,10895,12434,13508,12793,13928,13849,18907,17430,21225,22108,13598,17940,9664,9283,9220,8194,14509,6289,1810,3799,0,6,0,0,0,0,0,0,20201003,3호선대치,강남구,강남구,강남구
202009,3호선,도곡,12,0,818,321,2867,4044,6748,11760,8536,17802,5299,13588,3759,5900,4135,4585,4812,4861,5206,5183,5570,4552,7133,4403,9027,4717,13542,6074,15210,8015,7866,6798,5110,3720,4419,3299,2872,2477,763,1453,6,893,0,0,0,0,0,0,20201003,3호선도곡,강남구,강남구,강남구
202009,3호선,독립문,87,3,4653,625,4941,4829,13347,12351,15862,18402,10965,10839,9091,8843,8810,7709,9083,7151,9289,8802,9810,8176,10909,8740,12018,9388,11453,11331,14109,15300,6625,11965,4489,6913,3437,6158,2393,4491,579,2762,1,2075,0,0,0,0,0,0,20201003,3호선독립문,서대문구,서대문구,서대문구
202009,3호선,동대입구,16,1,1362,1183,1832,7748,4351,13696,5596,42297,4649,19458,4086,11025,4743,9176,5517,8530,6223,8852,8536,8073,9752,6762,14517,6519,28924,7291,26938,8146,12642,5099,8715,3214,8666,3490,6301,2381,1657,1432,1,223,0,0,0,0,0,0,20201003,3호선동대입구,중구,중구,중구
202009,3호선,매봉,9,1,1218,653,4917,8201,11679,19331,13765,57776,9909,32685,7797,10746,7483,8388,8238,8292,9894,8499,10889,7777,12601,8283,15288,8719,28188,11778,54659,16157,20919,11671,12022,6482,12712,5787,6902,4257,1692,2510,3,283,0,0,0,0,0,0,20201003,3호선매봉,강남구,강남구,강남구
202009,3호선,무악재,18,1,1626,371,4221,1866,12611,2893,13375,5004,8192,2592,5067,2558,4170,2886,4173,2935,4154,3257,3655,3691,3444,4187,4124,5672,4762,7232,5388,12951,2457,10994,1769,6218,1462,5369,1080,4110,369,2591,1,1,0,0,0,0,0,0,20201003,3호선무악재,서대문구,서대문구,서대문구
202009,3호선,불광,31,1,8052,813,16565,5166,43007,9685,51289,29368,27222,28813,19187,21625,18231,18900,18906,19494,19163,20284,19773,21002,20396,23524,21405,26281,24320,32061,27156,48488,15828,40703,11347,23179,10279,18960,5916,14709,1688,8756,4,396,0,0,0,0,0,0,20201003,3호선불광,은평구,은평구,은평구
202009,3호선,수서,187,2,4023,1609,10312,11661,27242,25119,33593,41862,21761,23992,17625,16177,14822,13005,17922,15675,18301,15768,16320,16331,21241,19227,24153,19932,29840,26243,39390,38723,19253,29128,17076,18634,11133,14258,9197,11373,2424,5298,2,573,0,0,0,0,0,0,20201003,3호선수서,강남구,강남구,강남구
202009,3호선,신사,45,3,2443,1316,5251,16606,8950,36104,14610,96081,11147,115430,13295,55108,17539,34631,20455,34132,23868,37989,29470,37277,37056,35111,44874,34730,68227,38818,111909,49967,80364,28551,53341,12728,53821,9422,34677,5609,10314,4101,0,91,0,0,0,0,0,0,20201003,3호선신사,강남구,강남구,강남구
202009,3호선,안국,12,0,1612,1373,2801,18145,4885,69646,6634,79881,5783,41715,6502,23694,8778,21188,11967,19749,13589,21449,17020,21379,24115,17218,32253,15669,69701,14057,81866,13791,33529,7514,23888,3924,19653,3361,10291,2340,2512,1707,1,27,0,0,0,0,0,0,20201003,3호선안국,종로구,종로구,종로구
202009,3호선,압구정,30,1,2447,2017,6826,19602,12843,40687,18567,119012,14623,138525,17216,59353,22110,42671,26330,36258,28619,40500,35085,37847,42821,32953,52298,31856,72844,38985,113221,44419,84691,25805,66482,11849,45054,9327,27324,6097,6769,3124,5,1029,0,0,0,0,0,0,20201003,3호선압구정,강남구,강남구,강남구
